PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000073700 uM,Activity at 0.0000311978 uM,Activity at 0.0000755538 uM,Activity at 0.0001700784 uM,Activity at 0.0003537877 uM,Activity at 0.0007609388 uM,Activity at 0.00133 uM,Activity at 0.00267 uM,Activity at 0.00634 uM,Activity at 0.00855 uM,Activity at 0.017 uM,Activity at 0.041 uM,Activity at 0.071 uM,Activity at 0.179 uM,Activity at 0.354 uM,Activity at 0.663 uM,Activity at 1.576 uM,Activity at 1.933 uM,Activity at 5.110 uM,Activity at 9.286 uM,Activity at 17.35 uM,Activity at 44.46 uM,Activity at 93.38 uM,Activity at 162.7 uM,Compound QC
10,104171142,104920,Active,41,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00015300-05/118814933,,Inhibitor,23.1093,89.8191,,41,Partial curve; partial efficacy,-4.6362,2.5334,0.9677,-93.2647,-3.4456,-2.2,0 0 0 0 0 0 0,-79.8039,,,,,,,,-4.7586,,,1.7504,,-7.2482,,4.6523,,,-10.9728,,-11.0815,,-79.8039,,,QC'd by BIOMOL
11,104171143,36811,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015321-04/118813426,,Inactive,,,,0,,,,,0,0,4,,-2.1045,,,,,,0,,8.2523,0,,-2.1724,,7.2216,0,,7.3601,-2.8223,,-6.1446,,4.4899,-2.1045,,,QC'd by BIOMOL
12,104171148,3108,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015385-12/118814343,,Inactive,,,,0,,-4.4292,4.9549,0.4721,-18.445,1.5,4,0 0 0 0 0 0 0 0 0 0 0,-13.2875,,,,,,0,,7.0161,4.5375,,5.0482,,0,0,,5.2422,-2.8732,,-8.9018,,6.1541,-13.2875,,,QC'd by BIOMOL
13,104171149,4943,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015389-08/118813709,,Inactive,,,,0,,,,,0,0,4,,9.4385,,,,,,0,,0,0,,0.9321,,0.5252,0,,0,0,,9.4894,,0,9.4385,,,QC'd by BIOMOL
14,104171154,3331,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015429-08/118813834,,Inactive,,,,0,,,,,0,0,4,,-1.1894,,,,,,0,,6.5585,0,,4.486,,0,0.5381,,0,4.8639,,3.4664,,2.4738,-1.1894,,,QC'd by BIOMOL
15,104171157,3373,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015439-06/118814107,,Inactive,,,,0,,-6.0792,4.9549,0.4047,5.5,0.1553,4,0 0 0 0 0 0 0 0 0 0 1,0,,,,,,1.472,,4.5108,0,,0,,0,-2.7872,,0,8.3864,,0,,8.0615,0,,,QC'd by BIOMOL
16,104171159,3356,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015443-06/118814488,,Inactive,,,,0,,,,,0,0,4,,3.6684,,,,,,6.8763,,0,8.8176,,4.0131,,5.201,7.9585,,0.104,0,,5.561,,0,3.6684,,,QC'd by BIOMOL
17,104171160,3341,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015444-04/118814450,,Inactive,,,,0,,,,,0,0,4,,0,,,,,,0,,0.7173,0.6679,,2.5617,,8.0704,0,,0,9.8105,,0,,8.9731,0,,,QC'd by BIOMOL
18,104171168,3559,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015500-10/118813995,,Inactive,,,,0,,,,,0,0,4,,1.1339,,,,,,-2.3294,,0,8.3935,,0,,0,9.7826,,7.5714,6.4163,,0,,0,1.1339,,,QC'd by BIOMOL
19,104171176,3779,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015558-06/118814220,,Inactive,,,,0,,,,,0,0,4,,0.229,,,,,,0,,0,0,,6.4105,,1.5979,2.2349,,0.7185,0,,0,,0,0.229,,,QC'd by BIOMOL
20,104171180,3827,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015580-08/118814253,,Inactive,,,,0,,-9.0292,4.9549,0.3898,2,-12.7871,4,0 0 0 0 0 0 0 0 0 0 1,-4.0609,,,,,,-8.9892,,3.4212,-1.7578,,7.1716,,0.6137,5.2177,,6.769,3.1957,,-7.1191,,-0.2144,-4.0609,,,QC'd by BIOMOL
21,104171181,3955,Active,41,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015608-04/118814209,,Inhibitor,20.931,101.634,,41,Partial curve; high efficacy,-4.6792,4.095,0.99,-99.5649,2.069,-2.1,0 0 0 0 0 0 0 0 0 0 0,-91.6804,,,,,,5.2511,,0,7.6294,,0,,3.8746,1.2696,,0,0,,0,,-20.7764,-91.6804,,,QC'd by BIOMOL
22,104171183,3957,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015619-09/118814606,,Inactive,,,,0,,,,,0,0,4,,0,,,,,,2.3204,,0,2.2816,,3.412,,1.2564,1.6162,,0,0,,0,,0.2287,0,,,QC'd by BIOMOL
23,104171186,4184,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015656-06/118813431,,Inactive,,,,0,,-4.5792,4.5045,0.7778,-24.8885,3.5,4,0 0 0 0 0 0 0 0 0 0 0,-22.8238,,,,,,5.7426,,8.6462,6.0217,,3.7721,,4.1656,9.0629,,3.0606,-1.1003,,-6.0335,,1.2279,-22.8238,,,QC'd by BIOMOL
24,104171187,4201,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015673-08/118813738,,Inhibitor,33.1734,109.8312,,10,Single point of activity,-4.4792,4.9549,0.9783,-109.3261,0.505,-3,0 0 0 0 0 0 0 0 0 0 0,-91.5629,,,,,,-0.0109,,-1.0575,1.0949,,2.2698,,9.4465,-3.4594,,0,-7.4354,,0,,0,-91.5629,,,QC'd by BIOMOL
25,104171191,4054,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015705-04/118814051,,Inactive,,,,0,,,,,0,0,4,,0.4417,,,,,,3.453,,1.6091,0,,2.0547,,8.2069,3.9631,,1.764,0,,0,,0,0.4417,,,QC'd by BIOMOL
26,104171197,4418,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015718-06/118814373,,Inactive,,,,0,,,,,0,0,4,,9.5472,,,,,,2.4384,,0,0.8549,,5.1311,,0.7066,0,,0,0,,0,,9.5582,9.5472,,,QC'd by BIOMOL
27,104171207,4636,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015766-08/118813589,,Inactive,,,,0,,,,,0,0,4,,1.7196,,,,,,5.1856,,9.9444,-0.3446,,-1.711,,3.4225,9.1043,,0,8.5733,,9.0401,,0,1.7196,,,QC'd by BIOMOL
28,104171217,4909,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015834-11/118813351,,Inactive,,,,0,,,,,0,0,4,,0,,,,,,0,,0,0.0034,,9.5799,,0,0,,1.7609,0.0549,,2.2443,,2.6069,0,,,QC'd by BIOMOL
29,104171227,5070,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015882-09/118813826,,Inactive,,,,0,,-5.8792,1.6259,0.3057,-6.2927,2,4,0 0 0 0 0 0 0 0 0 0 0,-6.7553,,,,,,-8.5773,,4.3421,9.9927,,-5.648,,9.0213,5.3159,,-2.2062,-2.3197,,-5.5195,,-5.6378,-6.7553,,,QC'd by BIOMOL
30,104171229,68712,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015884-09/118815264,,Inactive,,,,0,,,,,0,0,4,,0,,,,,,2.7619,,0.4765,0,,7.2952,,-0.9783,2.6689,,-1.9971,-0.0324,,2.6354,,7.8612,0,,,QC'd by BIOMOL
31,104171235,5253,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015919-04/118814310,,Inactive,,,,0,,,,,0,0,4,,2.0287,,,,,,0,,0,-0.964,,9.8053,,-0.5408,2.3907,,1.7446,3.0674,,0,,5.4958,2.0287,,,QC'd by BIOMOL
32,104171238,2083,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015955-09/118814318,,Inactive,,,,0,,-8.3292,4.9549,0.4877,0.1618,5.5,4,0 0 0 0 0 0 0 0 0 0 0,-0.6985,,,,,,1.0693,,9.7738,0,,0.8784,,0,0,,0,0.1944,,1.9698,,0,-0.6985,,,QC'd by BIOMOL
33,104171246,1123,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015997-06/118813421,,Inactive,,,,0,,,,,0,0,4,,9.4291,,,,,,5.2302,,0,5.8964,,0.2286,,0.9517,0,,6.75,0,,0.0945,,4.107,9.4291,,,QC'd by BIOMOL
34,104171333,3476,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00016960-03/118814242,,Inactive,,,,0,,-7.7292,0.5,0.7552,5.5,-9.2911,4,0 0 0 0 0 0 0 0 0 0 1,-10.1001,,,,,,-6.3663,,-8.1593,0.4825,,-3.6229,,-0.0419,1.5077,,1.6084,6.3732,,7.4479,,1.7517,-10.1001,,,QC'd by Sequoia
35,104171359,3378,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00018102-06/118813586,,Inactive,,,,0,,-4.7292,3.5117,0.5259,-10.0497,2,4,0 0 0 0 0 0 0 0 0 0 0,-10.0414,,,,,,3.2529,,0,6.9375,,-0.7751,,6.6941,4.0893,,-3.5509,-2.999,,3.6712,,-2.1709,-10.0414,,,QC'd by BIOMOL
36,104171369,3404,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00018193-06/118814960,,Inhibitor,20.931,40.1555,,20,Partial curve; partial efficacy,-4.6792,1.9673,0.8589,-46.0119,-5.8565,-2.2,0 0 0 0 0 0 0 0 0 0 0,-45.1098,,,,,,-8.6891,,-6.6814,-11.3034,,-8.1553,,-6.8944,-8.5396,,-12.023,-1.2232,,-10.5536,,-14.6284,-45.1098,,,QC'd by BIOMOL
37,104171396,3822,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00021146-06/118813964,,Inactive,,,,0,,-8.8792,2.0937,0.8613,-0.8575,11,4,0 0 0 0 0 0 0 0 0 0 0,-2.156,,,,,,7.9286,,1.7174,0,,0,,0,0,,0,0,,-1.4872,,-3.2146,-2.156,,,QC'd by BIOMOL
38,104219750,9969021,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00165768-02/220901048,,Inhibitor,33.1734,44.1606,,10,Single point of activity,-4.4792,4.095,0.8881,-39.1606,5,-3,0 0 0 0 0 0 0 0 0 0 0,-30.1339,,,,,,8.2425,,9.8504,0,,1.8243,,0,8.9301,,8.2615,7.7337,,1.2825,,3.1011,-30.1339,,,QC'd by NCGCChem
39,104223880,197033,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00182554-02/220902253,,Inactive,,,,0,,-8.4792,4.9549,0.4485,4,-4.2851,4,0 0 0 0 0 0 0 0 0 0 0,2.1469,,,,,,-4.4043,,-3.1611,5.3646,,0,,8.7017,5.0033,,5.4684,9.6842,,-1.0432,,0,2.1469,,,QC'd by NCGCChem
40,104224116,46925884,Active,41,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00185090-03/220902070,,Inhibitor,23.485,104.9006,,41,Partial curve; high efficacy,-4.6292,4.095,0.9854,-100.774,4.1265,-2.1,0 0 0 0 0 0 0 0 0 0 0,-93.3093,,,,,,9.8542,,-1.8525,3.7824,,5.6847,,3.071,4.4399,,7.7598,8.2177,,0,,-14.6295,-93.3093,,,QC'd by NCGCChem
41,104224372,11617907,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p5-KB-3-1-kinase/NCGC00189231-01/223519092,,Inactive,,,,0,,,,,0,0,4,,1.43,,,,,,,,3.4377,,,-1.9718,,-2.9994,,0.25,,,0,,-3.9606,,1.43,,,QC'd by NCGCChem
42,109816932,50897565,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p5-KB-3-1-kinase/NCGC00242343-01/223519053,,Activator,,,,0,,-6.8862,4.9549,0.921,-29.5221,-67.6828,5,0 0 0 0 0 0 1,-84.2724,,,,,,,,-67.2656,,,-66.939,,-66.0641,,-23.4505,,,-24.383,,-40.1605,,-84.2724,,,QC'd by AA Pharmaceuticals
43,11110645,5566,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mdr-p5-KB-3-1-kinase/NCGC00013226-03/223519705,,Inhibitor,6.9934,33.7954,,10,Single point of activity,-5.1553,4.9549,0.9769,-32.2954,1.5,-3,0 0 0 0 0 0 0,-31.9129,,,,,,,0,,0,,,3.8958,,0.0614,,4.6795,,,-0.8415,,-31.9129,,,,QC'd by Prestwick Chemical; Inc.
44,11111456,5281670,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015672-01/220902423,,Inactive,,,,0,,-4.8292,0.8,0.7564,-16.9474,4.5,4,0 0 0 0 0 0 0 0 0 0 0,-10.7895,,,,,,9.3485,,1.7316,3.092,,2.3481,,8.419,0,,1.7017,0,,1.375,,-8.0426,-10.7895,,,QC'd by SigmaAldrich
45,11112129,21014128,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00016245-01/220901934,,Inactive,,,,0,,,,,0,0,4,,0,,,,,0,,0,,0,0,,1.9463,1.4957,,0,,0,0,,8.4693,0,,,,QC'd by Prestwick Chemical; Inc.
46,11112213,5330,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00016324-01/118814093,,Inactive,,,,0,,,,,,,4,,14.2063,,,,,,,-1.7961,,11.2086,,,-5.42,,0.293,,8.0704,,,0.8548,,14.2063,,,,QC'd by Prestwick Chemical; Inc.
47,11112219,7059648,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00016330-01/118813461,,Inactive,,,,0,,,4.9549,0.5741,7.5,-8.0556,4,1 0 0 0 0 0 1,-1.2804,,,,,,,35.5954,,3.4824,,,-15.8797,,-12.1429,,7.6605,,,6.96,,-1.2804,,,,QC'd by NCGC
48,11112307,20056532,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00016413-01/118813424,,Inactive,,,,0,,,,,,,4,,-2.6296,,,,,,,-0.5526,,6.2147,,,-4.5726,,-0.5954,,0.699,,,3.4845,,-2.6296,,,,QC'd by NCGC
49,11112548,73265355,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00016641-01/220901834,,Inactive,,,,0,,,,,0,0,4,,0,,,,0,,0,,0,5.0771,,0,0,,0,,1.1234,0.3317,,0,0,,,,,QC'd by Prestwick Chemical; Inc.
50,11112564,453548,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00016656-01/220901482,,Inactive,,,,0,,,,,0,0,4,,0,,,,,,7.5509,1.0728,,5.6489,,8.4518,6.2989,,7.6896,1.9372,,0,,0,0,,0,,,QC'd by Prestwick Chemical; Inc.
51,11112680,4189,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00016770-01/118814530,,Inactive,,,,0,,,1,0.7675,4,-11.0013,4,0 0 0 0 0 0 0,2.9343,,,,,,,-8.3344,,-2.559,,,1.3281,,2.4287,,9.3615,,,1.0638,,2.9343,,,,QC'd by Prestwick Chemical; Inc.
52,11112745,37392,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00016833-01/118814366,,Inactive,,,,0,,,4.9549,0.748,2.5,-25.4429,4,0 0 0 0 0 0 1,-20.6348,,,,,,,-19.9524,,8.7474,,,-1.6314,,2.9968,,7.5135,,,-5.2128,,-20.6348,,,,QC'd by Prestwick Chemical; Inc.
53,11112878,441130,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00016962-01/118815147,,Inactive,,,,0,,,,,,,4,,-4.1795,,,,,,,,-5.8697,,,-4.2958,,-1.7117,,-1.1042,,,-5.7333,,-4.6216,,-4.1795,,,QC'd by Prestwick Chemical; Inc.
54,11112956,92178,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00017040-01/118813982,,Inactive,,,,0,,,4.9549,0.5322,-6.4797,9,4,0 0 0 0 0 0 0,-2.2231,,,,,,,9.2643,,4.0316,,,-17.4831,,-2.7056,,0.8775,,,-11.4443,,-2.2231,,,,QC'd by Prestwick Chemical; Inc.
55,11113072,6604593,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00017156-01/220901821,,Inactive,,,,0,,,,,0,0,4,,0,,,,4.1688,,0,,8.5623,4.2884,,0,0,,7.6058,,0,8.0705,,0,0,,,,,QC'd by Prestwick Chemical; Inc.
56,11113505,2532,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00024594-01/220902089,,Inactive,,,,0,,-5.9292,0.2,0.7193,-16.4188,3,4,0 0 0 0 0 0 0 0 0 0 0,-12.0156,,,,,,0.0438,,1.451,-1.0308,,-7.4274,,-2.5943,-7.6568,,-4.1583,-4.7411,,-7.5068,,-10.1681,-12.0156,,,QC'd by Tocris
57,11113545,54677973,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00024631-01/220901557,,Inactive,,,,0,,-5.5292,4.9549,0.3836,-1.3126,5,4,0 0 0 0 0 0 0 0 0 0 1,3.0149,,,,,,4.1699,,6.6882,0,,6.626,,0,5.1685,,8.0073,7.4071,,-4.0105,,1.3302,3.0149,,,QC'd by Tocris
58,11113631,39836,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00024717-01/220901228,,Inactive,,,,0,,,,,0,0,4,,9.2505,,,,,,4.3632,,9.2361,-2.8452,,1.5898,,3.7561,7.5872,,0,2.9067,,-4.4878,,0,9.2505,,,QC'd by Tocris
59,11113642,132449,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00024728-01/220902615,,Inactive,,,,0,,-4.9792,4.9549,0.3806,-9.4703,0,4,0 0 0 0 0 0 0 0 0 0 0,-8.0581,,,,,,6.8321,,-4.2737,-7.9702,,-4.0725,,2.7915,-1.9628,,0.9746,3.2137,,6.3618,,-9.9753,-8.0581,,,QC'd by Tocris
60,11113845,3938007,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00024929-01/220901354,,Inactive,,,,0,,,,,0,0,4,,7.8759,,,,,,7.7598,,3.5083,0,,8.4377,,3.1457,5.5805,,0,3.7932,,4.8409,,5.6035,7.8759,,,QC'd by Tocris
61,11113910,26757,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00024994-01/220901403,,Inactive,,,,0,,-5.7792,4.9549,0.4926,2,-5.9819,4,0 0 0 0 0 0 0 0 0 0 0,4.1535,,,,,,1.3625,,-7.4181,-6.5146,,-2.1925,,-7.1915,-8.5852,,-10.8183,-2.1389,,3.8968,,-2.5467,4.1535,,,QC'd by Tocris
62,11113946,5354033,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mdr-p5-KB-3-1-kinase/NCGC00025029-01/223519359,,Inhibitor,18.3564,82.2189,,10,Single point of activity,-4.7362,3.9295,0.9907,-84.5392,-2.3202,-3,0 0 0 0 0 0 0,-82.4905,,,,,,,,0.7119,,,-7.4374,,0,,0,,,-4.5334,,-7.4008,,-82.4905,,,QC'd by Tocris
63,11113990,44329754,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00025072-01/220901976,,Inactive,,,,0,,,,,0,0,4,,0,,,,,,2.4948,,6.7468,0,,6.474,,0,0,,0,0,,0.331,,0,0,,,QC'd by Tocris
64,11114022,2987927,Active,92,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00025103-01/220902357,,Inhibitor,0.0469,91.8037,,92,Complete curve; high efficacy,-7.3292,3.5117,0.9978,-87.636,4.1678,-1.1,0 0 0 0 0 0 0 0 0 0 0,-88.22,,,,,,0,,7.0376,3.3213,,0,,-62.4168,-87.6063,,-89.6073,-86.9809,,-88.5863,,-84.9742,-88.22,,,QC'd by Tocris
65,11114028,5730,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00025109-01/220902629,,Inactive,,,,0,,,,,0,0,4,,5.7632,,,,,,0,,0,8.7592,,4.826,,0,0.1229,,3.8461,8.1761,,3.7872,,0.0149,5.7632,,,QC'd by Tocris
66,11114076,285033,Inconclusive,28,http://assay.nih.gov/htsws/rest/display/mdr-p1-kb31-fda/NCGC00025155-01/118815739,,Inhibitor,0.0461,63.7406,,28,Complete curve; partial efficacy,-7.3362,4.095,0.9949,-58.1167,5.6239,-1.2,0 0 0 0 0 0 0,-58.5452,,,,,,,,8.648,,,1.6157,,-49.1117,,-58.8743,,,-58.7425,,-55.8938,,-58.5452,,,QC'd by Tocris
