PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000457000 uM,Activity at 0.0001972026 uM,Activity at 0.0003839484 uM,Activity at 0.0008898812 uM,Activity at 0.00155 uM,Activity at 0.00213 uM,Activity at 0.00547 uM,Activity at 0.00919 uM,Activity at 0.017 uM,Activity at 0.027 uM,Activity at 0.052 uM,Activity at 0.092 uM,Activity at 0.191 uM,Activity at 0.436 uM,Activity at 0.684 uM,Activity at 1.305 uM,Activity at 2.310 uM,Activity at 4.906 uM,Activity at 10.69 uM,Activity at 15.09 uM,Activity at 33.08 uM,Activity at 57.10 uM,Activity at 112.0 uM,Activity at 226.8 uM,Activity at 254.9 uM,Compound QC
RESULT_TYPE,,,,,,,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
11,363681325,5312120,Active,86,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00485412-01/222279824,,Inhibitor,2.5119,88.0721,86,Complete curve; high efficacy,-5.6,1.4232,0.9905,-101.0725,-13.0004,-1.1,0 0 0 0 0 0,-99.677,,,,,,,,,-17.7102,,,-6.8479,,-22.4966,,,-54.6887,,-92.4834,,,-99.677,,,,QC'd by SIGMA
12,376241543,1287,Active,86,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00095722-04/222161032,,Inhibitor,1.5597,131.7057,86,Complete curve; high efficacy,-5.8069,1.6924,0.9978,-98.3711,33.3346,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.4164,,,,,,31.2217,37.6432,,37.0911,,31.8758,,24.7205,18.9622,,-28.6796,,-78.0179,,-94.378,-96.2698,,-98.4164,,,QC'd by CANVASS
13,376241547,5481756,Active,86,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488745-01/222161036,,Inhibitor,2.472,101.6308,86,Complete curve; high efficacy,-5.6069,0.9,0.9929,-107.8488,-6.218,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.3083,,,,,,-5.9028,-8.3137,,-1.1701,,-13.6508,,-14.8634,-23.5362,,-45.1192,,-72.5404,,-89.1956,-97.64,,-99.3083,,,QC'd by CANVASS
14,376241576,10455173,Active,86,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00385362-02/222161067,,Inhibitor,2.2032,113.3218,86,Complete curve; high efficacy,-5.6569,1.4641,0.9975,-101.4331,11.8887,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.8627,,,,,,12.0833,13.5507,,10.1166,,14.3628,,4.4085,3.1645,,-25.6226,,-69.539,,-96.6706,-98.7826,,-98.8627,,,QC'd by CANVASS
15,376241637,24797083,Active,86,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00390598-03/222161131,,Inhibitor,2.472,112.531,86,Complete curve; high efficacy,-5.6069,1.3443,0.9955,-101.0863,11.4447,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.1042,,,,,,14.3186,15.0329,,15.343,,5.285,,5.1432,-2.4708,,-22.0317,,-64.252,,-93.0468,-98.1725,,-99.1042,,,QC'd by CANVASS
16,376241805,20056625,Active,86,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00380824-02/222160948,,Inhibitor,1.9636,105.8276,86,Complete curve; high efficacy,-5.7069,1.2221,0.9937,-103.1951,2.6325,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.4173,,,,,,4.8967,0.8386,,5.881,,3.865,,-10.3135,-12.3804,,-39.6939,,-73.6405,,-98.2049,-98.8748,,-99.4173,,,QC'd by CANVASS
17,363676560,9934458,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00092344-07/222279739,,Inhibitor,1.7783,91.2671,85,Complete curve; high efficacy,-5.75,3.5117,0.9826,-86.5135,4.7536,-1.1,0 0 0 0 0 0,-93.0253,,,,,,,,,0,,,0,,12.61,,,-57.6281,,-81.8414,,,-93.0253,,,,QC'd by Selleck
18,363677172,54708532,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00250373-05/222281266,,Inhibitor,2.5119,92.9063,85,Complete curve; high efficacy,-5.6,1.8508,0.9887,-87.8301,5.0762,-1.1,1 0 0 0 0 0,-91.4897,,,,,,,,,20.8877,,,0,,6.9865,,,-38.6527,,-78.4751,,,-91.4897,,,,QC'd by Selleck
19,363677226,6450819,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00263142-04/222281692,,Inhibitor,2.5119,94.6333,85,Complete curve; high efficacy,-5.6,2.2526,0.9632,-87.9552,6.6781,-1.1,0 0 0 0 0 0,-90.4551,,,,,,,,,0,,,0,,20.8471,,,-39.8183,,-80.4603,,,-90.4551,,,,QC'd by Glixx
20,363677379,1361334,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00345836-02/222279680,,Inhibitor,3.5481,108.387,85,Complete curve; high efficacy,-5.45,1.3442,0.9994,-102.0254,6.3616,-1.1,0 0 0 0 0 0,-99.44,,,,,,,,,4.9668,,,6.5867,,0.5618,,,-34.0356,,-82.8221,,,-99.44,,,,QC'd by Arking Pharma
21,363677448,49867926,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00346541-08/222283171,,Inhibitor,3.1623,108.9937,85,Complete curve; high efficacy,-5.5,1.9282,0.9993,-94.7759,14.2177,-1.1,0 0 0 0 0,-93.4674,,,,,,,,,15.8998,,,12.6828,,,,,-24.0085,,-87.6815,,,-93.4674,,,,QC'd by Glixx
22,363677457,166558,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00346572-02/222280146,,Inhibitor,3.1623,86.0132,85,Complete curve; high efficacy,-5.5,1.3905,0.9967,-100.2727,-14.2595,-1.1,0 0 0 0 0 0,-97.1635,,,,,,,,,-12.7665,,,-13.9766,,-23.2794,,,-46.7178,,-89.9659,,,-97.1635,,,,QC'd by Selleck
23,363677750,1987175,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00351476-01/222279480,,Inhibitor,3.1623,113.1001,85,Complete curve; high efficacy,-5.5,1.2673,0.9902,-97.5419,15.5582,-1.1,0 0 0 0 0 0,-92.8971,,,,,,,,,15.3167,,,18.2327,,-0.7917,,,-24.1594,,-82.8203,,,-92.8971,,,,QC'd by Emory
24,363677808,52939724,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00370685-02/222279825,,Inhibitor,3.5481,114.5292,85,Complete curve; high efficacy,-5.45,1.9887,0.9965,-98.3119,16.2173,-1.1,0 0 0 0 0 0,-96.4063,,,,,,,,,18.84,,,19.4315,,8.9745,,,-17.1885,,-89.2518,,,-96.4063,,,,QC'd by SynKinase
25,363677832,1261822,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00370745-03/222281109,,Inhibitor,2.2387,102.4557,85,Complete curve; high efficacy,-5.65,1.9673,0.9927,-93.9238,8.5318,-1.1,0 0 0 0 0 0,-93.1784,,,,,,,,,1.162,,,13.4694,,6.5393,,,-44.49,,-90.4344,,,-93.1784,,,,QC'd by Aobious
26,363677949,9889522,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00370944-01/222280736,,Inhibitor,2.2387,99.6161,85,Complete curve; high efficacy,-5.65,1.8508,0.9901,-91.1394,8.4767,-1.1,0 0 0 0 0 0,-91.5054,,,,,,,,,14.4539,,,0,,5.2464,,,-40.4917,,-86.8692,,,-91.5054,,,,QC'd by Tocris
27,363678214,66577055,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378812-01/222283608,,Inhibitor,3.1623,121.8242,85,Complete curve; high efficacy,-5.5,1.3905,0.9999,-93.2836,28.5406,-1.1,0 0 0 0 0,-90.6193,,,,,,,,,28.2999,,,28.2088,,,,,-19.2995,,-76.5867,,,-90.6193,,,,QC'd by MedChem Express
28,363678342,44627267,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00379075-01/222279505,,Inhibitor,3.1623,113.3713,85,Complete curve; high efficacy,-5.5,1.3905,0.9959,-101.8004,11.5709,-1.1,0 0 0 0 0 0,-98.6438,,,,,,,,,17.0655,,6.8944,,,6.7186,,-18.7006,,,-76.0629,,-98.6438,,,,,QC'd by MedChem Express
29,363678382,4235339,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00379140-01/222281330,,Inhibitor,3.1623,92.7542,85,Complete curve; high efficacy,-5.5,1.222,0.9922,-90.6988,2.0553,-1.1,0 0 0 0 0 0,-89.4466,,,,,,,,,0,,,0,,-0.1536,,,-39.0955,,-71.8003,,,-89.4466,,,,QC'd by Tocris
30,363678404,66552906,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00379183-01/222281516,,Inhibitor,2.5119,90.7288,85,Complete curve; high efficacy,-5.6,1.5665,0.9614,-94.2553,-3.5265,-1.1,0 0 0 0 0 0,-94.0671,,,,,,,,,6.6887,,,-18.7524,,-4.7989,,,-45.9536,,-85.7759,,,-94.0671,,,,QC'd by Tocris
31,363680196,135565181,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00386303-01/222279786,,Inhibitor,2.5119,94.6017,85,Complete curve; high efficacy,-5.6,2.2526,0.9982,-92.2579,2.3437,-1.1,0 0 0 0 0 0,-92.6285,,,,,,,,,-0.79,,,3.9343,,2.5913,,,-39.9874,,-88.2439,,,-92.6285,,,,QC'd by Selleck
32,363680229,72188643,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00386350-01/222281097,,Inhibitor,2.8184,100.4543,85,Complete curve; high efficacy,-5.55,3.0654,0.968,-92.7702,7.684,-1.1,0 0 0 0 0 0,-94.5483,,,,,,,,,0,,,0,,23.6675,,,-28.0303,,-89.1693,,,-94.5483,,,,QC'd by Selleck
33,363680595,16122583,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00387254-02/222279900,,Inhibitor,3.5481,116.8955,85,Complete curve; high efficacy,-5.45,1.222,0.9998,-101.0161,15.8794,-1.1,0 0 0 0 0 0,-96.7587,,,,,,,,,16.6656,,,13.7884,,7.3969,,,-26.7585,,-79.2024,,,-96.7587,,,,QC'd by Chemdea
34,363680996,72165188,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00402240-03/222281240,,Inhibitor,2.8184,87.761,85,Complete curve; high efficacy,-5.55,2.4064,0.9987,-86.2153,1.5456,-1.1,0 0 0 0 0 0,-86.5616,,,,,,,,,0,,,0,,2.9822,,,-31.6262,,-82.6196,,,-86.5616,,,,QC'd by Glixx
35,363681022,73672447,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00402304-03/222280776,,Inhibitor,2.8184,96.7308,85,Complete curve; high efficacy,-5.55,2.7202,0.9935,-91.1594,5.5714,-1.1,1 0 0 0 0 0,-90.9774,,,,,,,,,23.4426,,,0,,10.3203,,,-29.6547,,-89.6419,,,-90.9774,,,,QC'd by Glixx
36,363681161,45102710,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00484069-01/222279467,,Inhibitor,1.9953,110.4086,85,Complete curve; high efficacy,-5.7,1.0693,0.9959,-87.5096,22.8989,-1.1,0 0 0 0 0 0,-86.1007,,,,,,,,,19.141,,,22.9419,,2.2107,,,-35.6754,,-69.0733,,,-86.1007,,,,QC'd by MedChem Express
37,363681268,11599836,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00485239-01/222279758,,Inhibitor,2.8184,83.2467,85,Complete curve; high efficacy,-5.55,2.7202,0.9975,-93.1569,-9.9102,-1.1,0 0 0 0 0 0,-90.8036,,,,,,,,,-8.6367,,,-11.4779,,-11.6618,,,-38.8363,,-94.0979,,,-90.8036,,,,QC'd by SIGMA
38,363681407,9864378,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00485908-01/222279449,,Inhibitor,2.2387,100.8426,85,Complete curve; high efficacy,-5.65,1.6825,0.998,-93.7452,7.0975,-1.1,0 0 0 0 0 0,-92.4508,,,,,,,,,5.3487,,,8.9415,,-0.8937,,,-42.0538,,-90.1178,,,-92.4508,,,,QC'd by MedChem Express
39,363681449,44473151,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00485966-01/222279835,,Inhibitor,3.1623,96.3284,85,Complete curve; high efficacy,-5.5,3.5722,0.9983,-90.8259,5.5025,-1.1,0 0 0 0 0 0,-91.7433,,,,,,,,,5.4499,,,8.2064,,2.1551,,,-17.6822,,-89.0767,,,-91.7433,,,,QC'd by MedChem Express
40,376241638,134828009,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488537-01/222161132,,Inhibitor,3.9179,116.7326,85,Complete curve; high efficacy,-5.4069,1.3443,0.9956,-102.1159,14.6167,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.3072,,,,,,13.0455,13.676,,10.3856,,22.4985,,11.0701,8.2976,,-10.275,,-44.8553,,-82.2165,-98.5255,,-99.3072,,,QC'd by CANVASS
41,376241646,124080445,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488802-01/222161140,,Inhibitor,3.1121,127.8961,85,Complete curve; high efficacy,-5.5069,1.21,0.9962,-106.9811,20.915,-1.1,0 0 0 0 0 0 0 0 0 0 0,-101.3573,,,,,,19.5748,23.8743,,19.9514,,16.9822,,22.0367,7.2978,,-19.1588,,-51.4058,,-90.6185,-102.883,,-101.3573,,,QC'd by CANVASS
42,376241657,21677748,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00346605-06/222161152,,Inhibitor,3.4918,87.5608,85,Complete curve; high efficacy,-5.4569,1.4641,0.991,-102.5661,-15.0052,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.9669,,,,,,-6.8259,-20.1165,,-15.518,,-13.0579,,-19.2891,-19.8229,,-32.2162,,-66.0696,,-94.3322,-98.9474,,-99.9669,,,QC'd by CANVASS
43,376241674,101277343,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488525-01/222161169,,Inhibitor,3.9179,88.7422,85,Complete curve; high efficacy,-5.4069,1.3443,0.9936,-103.1653,-14.4231,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.9663,,,,,,-12.3293,-9.0241,,-16.5182,,-17.083,,-18.489,-21.5381,,-32.5956,,-58.0763,,-91.9789,-99.1871,,-99.9663,,,QC'd by CANVASS
44,376241719,3032411,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488603-01/222160861,,Inhibitor,3.3012,109.4868,85,Complete curve; high efficacy,-5.4813,1.7529,0.9937,-98.5034,10.9833,-1.1,0 0 0 0 0 0 0 0 0 0 0,-94.8973,,,,14.9362,11.349,,12.8196,,11.9593,,11.4394,8.3234,,-0.2023,,-3.5974,,-53.2055,,-87.5672,-94.8973,,,,,QC'd by CANVASS
45,376241750,134828000,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488650-01/222160893,,Inhibitor,2.7737,94.5487,85,Complete curve; high efficacy,-5.5569,1.1,0.9871,-102.9995,-8.4508,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.2288,,,,,,-5.8107,-10.2963,,-14.6432,,-10.8168,,-3.6618,-20.1616,,-45.0318,,-62.0746,,-91.934,-98.6141,,-99.2288,,,QC'd by CANVASS
46,376241801,5482316,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488602-01/222160944,,Inhibitor,3.1121,110.4722,85,Complete curve; high efficacy,-5.5069,1.4781,0.9887,-101.7847,8.6874,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.1078,,,,,,-1.2294,10.3147,,16.0436,,10.5082,,10.4756,-3.1817,,-15.8849,,-54.2266,,-95.3039,-99.789,,-99.1078,,,QC'd by CANVASS
47,376241843,137276863,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488626-01/222160986,,Inhibitor,3.1121,94.1413,85,Complete curve; high efficacy,-5.5069,1.6604,0.9949,-98.1201,-3.9788,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.7155,,,,,,-0.7769,-5.5833,,0.0725,,-5.0364,,-6.8228,-13.2863,,-20.1777,,-63.8905,,-87.5841,-96.847,,-99.7155,,,QC'd by CANVASS
48,376241869,78121247,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488667-01/222161012,,Inhibitor,3.9179,99.4759,85,Complete curve; high efficacy,-5.4069,1.3443,0.9964,-102.5602,-3.0843,-1.1,0 0 0 0 0 0 0 0 0 0 0,-100.5492,,,,,,-1.5285,-4.9679,,-4.2062,,-0.9358,,-2.3193,-12.0212,,-24.5266,,-51.3113,,-89.3381,-97.9668,,-100.5492,,,QC'd by CANVASS
49,376241877,12110448,Active,85,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00488494-01/222161021,,Inhibitor,3.9179,83.4412,85,Complete curve; high efficacy,-5.4069,1.2221,0.9961,-101.7718,-18.3306,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.1928,,,,,,-15.3739,-19.0135,,-19.0999,,-18.7501,,-18.7098,-28.6742,,-35.9122,,-60.2067,,-88.7011,-97.1349,,-99.1928,,,QC'd by CANVASS
50,363676455,3392731,Active,84,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00015480-19/222280310,,Inhibitor,3.9811,109.2067,84,Complete curve; high efficacy,-5.4,1.5936,0.9999,-98.45,10.7567,-1.1,0 0 0 0 0 0,-97.0908,,,,,,,,,9.7239,,,10.4765,,7.9415,,,-21.0139,,-80.9132,,,-97.0908,,,,QC'd by SIGMA
51,363676478,5803,Active,84,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00016227-08/222281625,,Inhibitor,3.1623,92.219,84,Complete curve; high efficacy,-5.5,4.5045,0.9684,-81.617,10.6021,-1.1,0 0 0 0 0 0,-87.5443,,,,,,,,,3.3977,,,4.3061,,24.0563,,,-6.2366,,-75.4508,,,-87.5443,,,,QC'd by Selleck
52,363677206,133053827,Active,84,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00263106-03/222280493,,Inhibitor,3.1623,89.1441,84,Complete curve; high efficacy,-5.5,4.095,0.9615,-82.0156,7.1285,-1.1,0 0 0 0 0 0,-88.4524,,,,,,,,,0,,,0,,21.2169,,,-10.4063,,-74.8579,,,-88.4524,,,,QC'd by Axon Medchem
53,363677853,68414868,Active,84,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00370782-01/222281119,,Inhibitor,3.1623,100.7211,84,Complete curve; high efficacy,-5.5,3.2475,0.976,-87.626,13.0951,-1.1,0 0 0 0 0 0,-90.5767,,,,,,,,,15.203,,,0,,23.2935,,,-12.3185,,-83.5698,,,-90.5767,,,,QC'd by Tocris
54,363677897,44566108,Active,84,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00370868-01/222281681,,Inhibitor,3.1623,92.4175,84,Complete curve; high efficacy,-5.5,3.6772,0.9853,-85.6228,6.7948,-1.1,0 0 0 0 0 0,-89.1904,,,,,,,,,15.3445,,,3.5141,,0,,,-13.701,,-81.5045,,,-89.1904,,,,QC'd by Tocris
55,363677925,445091,Active,84,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00370906-01/222280448,,Inhibitor,3.1623,99.1711,84,Complete curve; high efficacy,-5.5,2.7868,0.9731,-89.4262,9.7449,-1.1,0 0 0 0 0 0,-91.2411,,,,,,,,,5.6719,,,0,,23.4052,,,-19.6998,,-84.7627,,,-91.2411,,,,QC'd by Tocris
